CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,FIRST_NAME,GENDER_TOTAL_COUNT,GENDER_TOTAL_PERCENTAGE,GENDER_TOTAL_RANK,MEN+_COUNT,MEN+_PERCENTAGE,MEN+_RANK,MEN+_SYMBOL,WOMEN+_COUNT,WOMEN+_PERCENTAGE,WOMEN+_RANK,WOMEN+_SYMBOL
2021,"2021A000011124","01","Country","Canada","EMRIK",300,0.001,8358,300,0.002,3825,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","EMRY",255,0.0009,9306,,,,"...",,,,"..."
2021,"2021A000011124","01","Country","Canada","EMY",4450,0.0149,1126,,,,"...",4385,0.0294,602,""
2021,"2021A000011124","01","Country","Canada","EMY-ROSE",275,0.0009,8885,,,,"...",275,0.0018,4962,""
2021,"2021A000011124","01","Country","Canada","EN",635,0.0021,4862,370,0.0025,3264,"",270,0.0018,5051,""
2021,"2021A000011124","01","Country","Canada","ENA",1140,0.0038,3070,,,,"...",1095,0.0073,1668,""
2021,"2021A000011124","01","Country","Canada","ENAS",300,0.001,8358,,,,"...",270,0.0018,5051,""
2021,"2021A000011124","01","Country","Canada","ENC",515,0.0017,5753,510,0.0034,2596,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ENID",1060,0.0036,3240,,,,"...",1010,0.0068,1769,""
2021,"2021A000011124","01","Country","Canada","ENNIO",335,0.0011,7742,305,0.0021,3775,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ENOCH",785,0.0026,4121,775,0.0052,1889,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ENRICK",330,0.0011,7827,325,0.0022,3600,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ENRICO",1695,0.0057,2308,1690,0.0114,998,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ENRIQUE",1805,0.0061,2198,1785,0.012,945,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ENYA",415,0.0014,6675,,,,"...",405,0.0027,3739,""
2021,"2021A000011124","01","Country","Canada","ENZA",630,0.0021,4897,,,,"...",605,0.0041,2725,""
2021,"2021A000011124","01","Country","Canada","ENZO",3435,0.0115,1365,3420,0.023,605,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","EOIN",360,0.0012,7358,360,0.0024,3326,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","EPHRAIM",595,0.002,5111,585,0.0039,2345,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ERA",280,0.0009,8758,,,,"...",,,,"..."
2021,"2021A000011124","01","Country","Canada","EREN",280,0.0009,8758,,,,"...",,,,"..."
2021,"2021A000011124","01","Country","Canada","ERFAN",295,0.001,8460,295,0.002,3883,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ERHARD",475,0.0016,6066,475,0.0032,2741,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ERIC",91450,0.3069,22,91240,0.6137,16,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ERICA",12090,0.0406,527,,,,"...",12030,0.0806,273,""
2021,"2021A000011124","01","Country","Canada","ERICH",1085,0.0036,3185,1025,0.0069,1513,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ERICK",3025,0.0102,1493,3005,0.0202,643,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ERICKA",915,0.0031,3667,,,,"...",900,0.006,1964,""
2021,"2021A000011124","01","Country","Canada","ERIE",320,0.0011,7980,275,0.0018,4079,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ERIK",9095,0.0305,672,9050,0.0609,311,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ERIKA",13260,0.0445,479,,,,"...",13195,0.0884,244,""
2021,"2021A000011124","01","Country","Canada","ERIN",28250,0.0948,214,605,0.0041,2280,"",27645,0.1852,103,""
2021,"2021A000011124","01","Country","Canada","ERINN",525,0.0018,5682,,,,"...",450,0.003,3440,""
2021,"2021A000011124","01","Country","Canada","ERK",395,0.0013,6924,395,0.0027,3112,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ERLINDA",1310,0.0044,2763,,,,"...",1305,0.0087,1455,""
2021,"2021A000011124","01","Country","Canada","ERMA",845,0.0028,3896,,,,"...",795,0.0053,2172,""
2021,"2021A000011124","01","Country","Canada","ERMELINDA",255,0.0009,9306,,,,"...",255,0.0017,5232,""
2021,"2021A000011124","01","Country","Canada","ERMINIA",285,0.001,8652,,,,"...",280,0.0019,4898,""
2021,"2021A000011124","01","Country","Canada","ERNA",1395,0.0047,2638,,,,"...",1345,0.009,1420,""
2021,"2021A000011124","01","Country","Canada","ERNEST",9670,0.0325,629,9580,0.0644,295,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ERNESTINE",460,0.0015,6195,,,,"...",450,0.003,3440,""
2021,"2021A000011124","01","Country","Canada","ERNESTO",2495,0.0084,1723,2475,0.0166,753,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ERNIE",2180,0.0073,1884,2095,0.0141,835,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ERNST",870,0.0029,3808,840,0.0056,1758,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ERROL",1720,0.0058,2280,1695,0.0114,993,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ERUM",400,0.0013,6860,,,,"...",360,0.0024,4093,""
